标题,售价,单价,小区,商圈,户型,面积,朝向,装修,楼层,建筑结构,日期
保利西海岸 精装复式楼，中间楼层 视野好 满五唯一,263,20010,保利西海岸 ,银盆岭,4室1厅,131.44,南,精装,中楼层(共45层),板楼,2016年
省府南地铁口洋房带60平大露台，出价就谈,82,6623,御邦二期 ,暮云,3室1厅,123.82,南 北,毛坯,中楼层(共6层) ,板塔结合,暂无数据
急急急松雅湖吾悦广场户型周正你喜欢吗,128.8,9267,中建悦和城 ,开元路,4室2厅,139,南,精装,中楼层(共34层) ,板塔结合,暂无数据
地铁口电梯复式带露台五房，麓谷明珠买一得二,140,14315,麓谷明珠 ,枫林三路,5室2厅,97.8,南 北,简装,高楼层(共17层),板塔结合,2012年
梅岭国际大平层   很安静不靠马路  南北户型大五房,280,15299,惠天然梅岭国际 ,梅溪湖北岸,5室2厅,183.03,南 北,毛坯,中楼层(共30层),板楼,2018年
湘熙水郡一期小三房92平米，临地铁靠湘江靠洋湖公园,112.5,12285,湘熙水郡 ,洋湖垸,3室2厅,91.58,南,简装,低楼层(共33层),板塔结合,2014年
此房满五唯一省个税，自住精装，保养很好，很诚心卖,75.8,8936,山水华景 ,马王堆,3室2厅,84.83,北,精装,27层,塔楼,2008年
紫云阁 精装两房，满五唯一，免个税，完全人车分流,46.8,5387,紫云阁 ,泉塘,2室2厅,86.89,南 北,简装,低楼层(共33层),板塔结合,2013年
长沙大道 次新小区 中间楼层 3室2卫 精装修 人车分流,130.3,12153,阳光城尚东湾青云苑 ,武广新城,3室2厅,107.22,南,精装,中楼层(共34层) ,板塔结合,暂无数据
凤凰城二期 次顶楼 华润物业，居家精装，南北通透,88,8032,华润凤凰城二期 ,开元路,3室2厅,109.57,南 北,精装,高楼层(共34层) ,板塔结合,暂无数据
地铁口南北通透的大三房，业主诚售,110.2,8688,四季美景 ,四方坪,3室2厅,126.85,南 北,简装,高楼层(共16层),板楼,2006年
背靠省植物园天然氧吧5号线宜居三房,75,7423,森林公园壹号 ,汽车南站,3室1厅,101.05,南 北,精装,高楼层(共18层),塔楼,2011年
19年新中式装修大三房，带全套家具家电，可拎包入住,318,27805,钰龙天下佳园 ,观沙岭,3室2厅,114.37,南,精装,高楼层(共33层),板塔结合,2011年
月亮岛地铁口 毛坯4房 证在手 东边户 诚心卖,107,9350,勤诚达境界城 ,金星北,4室2厅,114.44,南 北,毛坯,高楼层(共34层) ,板塔结合,暂无数据
枫树山一路之隔，满五唯一，精装修，业主诚售，九成新,83.9,10394,中航城 ,万家丽南路,3室2厅,80.72,南,精装,高楼层(共34层) ,板塔结合,暂无数据
钰龙天下一期优质好房，随时可用，近且方便，诚意出售,259,33274,钰龙天下佳园 ,观沙岭,2室1厅,77.84,南,精装,低楼层(共33层),板塔结合,2011年
高楼层 视野宽阔 近地铁 业主诚心出售 价格可谈,85,9728,时代倾城 ,金星北,2室2厅,87.38,南,精装,高楼层(共34层) ,板塔结合,暂无数据
有小区环境，两梯三户，正规一房带燃气,52.8,9437,怡然四方锦城 ,四方坪,1室1厅,55.95,南,毛坯,低楼层(共18层) ,板楼,暂无数据
单位房人员纯粹，19年精装拎包入住，小洋房，居家舒适,195,12094,金桂园 ,汽车南站,5室2厅,161.25,南 北,精装,中楼层(共11层) ,暂无数据,暂无数据
德思勤商圈带露台大四房，中式风格带家具家电车位出售,258,12944,长沙奥林匹克花园 ,德思勤,4室2厅,199.33,南 北,精装,低楼层(共14层),板楼,2010年
装修保养很好大三房，真的保养很好，改善型首要选择,105,8153,蓝山郡 ,开元路,3室2厅,128.79,南,精装,高楼层(共33层) ,板塔结合,暂无数据
保利麓谷林语F区高层优质三房，随时预约看房,100.8,10143,保利麓谷林语F区 ,麓谷西,3室2厅,99.38,南,精装,高楼层(共32层),板塔结合,2013年
中建信和城 通透三房两卫 自住三十W精装修 青园,168.8,17401,中建信和城 ,德思勤,3室2厅,97.01,南,精装,高楼层(共33层),板塔结合,2014年
周正精装4房，通透性强保养好，成熟商圈配套,83.8,8498,蓝山郡 ,开元路,4室2厅,98.62,南,精装,中楼层(共33层) ,塔楼,暂无数据
单位房低楼层 精装修 满五唯一 密码钥匙看房,45,6979,轻工设计院小区 ,井湾子,2室1厅,64.48,南,精装,中楼层(共4层) ,暂无数据,暂无数据
正地铁口！交通便利，格局好，视野宽阔，采光充足！！,62,6726,雅雀湖小区 ,四方坪,3室2厅,92.19,南 北,精装,中楼层(共8层),板楼,2003年
车位一起出售 临湖边  好楼层 满五唯一 业主急售,159,14683,卓越浅水湾 ,梅溪湖南岸,3室1厅,108.29,南,精装,中楼层(共33层),板塔结合,2019年
央企品牌，满五唯一，楼层采光好，视野开阔。,68,7449,中建麓山和苑 ,含浦,2室1厅,91.29,南,精装,高楼层(共25层),板塔结合,2013年
井湾子业主自住装修三房 满五唯一省个税 业主急售,68,6821,东方名都百草园 ,井湾子,3室2厅,99.7,南,精装,高楼层(共6层),板楼,2007年
山水郡看山中高楼层毛坯四房，好房推荐带车位出售,99,7701,润和山水郡 ,望城区,4室2厅,128.57,南,毛坯,高楼层(共34层) ,板塔结合,暂无数据
愉景苑中间楼栋，好房诚心出售，,94.8,9280,阳光城愉景苑 ,武广新城,3室2厅,102.16,南,毛坯,中楼层(共49层) ,板塔结合,暂无数据
有密码钥匙看房方便，业主自住精装修，好楼层。,63.8,7334,绿地新都会 ,跳马,3室2厅,87,南,精装,高楼层(共34层) ,板塔结合,暂无数据
户型好，格局好，配套设施齐全，出行方便，,65,4975,锑都家园 ,含浦,3室2厅,130.66,南 北,毛坯,中楼层(共6层),板楼,2006年
融创融公馆 9.9成新 楼盘品质物业服务好 交通方便,113.8,9857,融创融公馆 ,含浦,4室2厅,115.46,东南,精装,低楼层(共33层) ,板塔结合,暂无数据
全新精装从未入住 大三房15层的小高层有地下车库,130,10679,恒大雅苑 ,广电,3室2厅,121.74,南,精装,中楼层(共15层) ,板塔结合,暂无数据
2019年次新 小高层 毛坯 三房两厅两卫 南北朝向 边户,135,11683,长盛岚庭 ,新开铺,3室2厅,115.56,南 北,毛坯,高楼层(共17层),板楼,2017年
特好装修，东边边户，凤凰层，视野好。,99.8,7737,富基世纪公园 ,金星北,4室2厅,129,南,精装,高楼层(共30层),板塔结合,2015年
月亮岛西地铁口，复式洋房，产权130平，套内160,160,12369,润和滨江府一期 ,金星北,4室2厅,129.36,南,毛坯,中楼层(共10层) ,板楼,暂无数据
新楼盘楼龄新，去年交房，高绿化小区 师大旁 业主诚售,107,10752,克拉美丽山庄二期 ,新开铺,3室2厅,99.52,南,毛坯,高楼层(共33层),塔楼,2019年
清水毛胚经典大四房交通方便双阳台带入户花园,125,7889,名家翡翠花园 ,金星北,4室2厅,158.46,南,其他,高楼层(共18层),板塔结合,2011年
中间楼层，采光好，无遮挡，四房,98,8115,润和星城润和美郡 ,金星北,4室2厅,120.77,南,毛坯,低楼层(共34层) ,板塔结合,暂无数据
毛坯大三房 青园梓枫 中雅培粹 小高层 绿化好,170,12679,欧洲城 ,德思勤,3室2厅,134.08,南,毛坯,低楼层(共18层),板塔结合,2014年
中建央企 满五唯一 自住精装 边户 2梯3户 次新小区,110,9783,中建嘉和城 ,万家丽南路,3室2厅,112.45,南 北,精装,高楼层(共34层),板塔结合,2018年
三房二卫，博才梅溪湖北，首付25万,118,11846,红星紫檀溪苑 ,枫林三路,3室2厅,99.62,东 南,精装,中楼层(共31层),板塔结合,2014年
急售汽车东站东门尚苑满五唯一精装大两房拎包入住,54.8,6015,东门尚苑 ,汽车东站,2室2厅,91.12,南,精装,高楼层(共18层),塔楼,2008年
三房二卫，博才梅溪湖北，首付25万,118,11846,红星紫檀溪苑 ,枫林三路,3室2厅,99.62,东 南,精装,中楼层(共31层),板塔结合,2014年
正地铁口 方略城市广场 精装小三房 保养八成新 带露台,94,10536,方略城市广场 ,开元路,3室2厅,89.22,西南,精装,中楼层(共33层),板楼,2015年
房东自住精装4房拎包入住 一路之隔梅岭公园,168.8,12761,弘德西街好莱城 ,梅溪湖北岸,4室2厅,132.28,南 北,精装,低楼层(共33层),板塔结合,2015年
中建央企 满五唯一 自住精装 边户 2梯3户 次新小区,110,9783,中建嘉和城 ,万家丽南路,3室2厅,112.45,南 北,精装,高楼层(共34层),板塔结合,2018年
毛坯大三房 青园梓枫 中雅培粹 小高层 绿化好,170,12679,欧洲城 ,德思勤,3室2厅,134.08,南,毛坯,低楼层(共18层),板塔结合,2014年
中间楼层，采光好，无遮挡，四房,98,8115,润和星城润和美郡 ,金星北,4室2厅,120.77,南,毛坯,低楼层(共34层) ,板塔结合,暂无数据
洋房中间楼层，带露台......,252,20617,明昇壹城 ,武广新城,3室2厅,122.23,南 北,精装,中楼层(共6层) ,板楼,暂无数据
业主婚房装修 可以拎包入住 中高楼层 带家具家电 诚售,85,9660,天麓尚层 ,雷锋大道,3室2厅,88,南,精装,中楼层(共32层) ,板塔结合,暂无数据
一号线尚双塘地铁口 中海电梯洋房 一梯两户花园式小区,115,10525,中海新城熙岸 ,暮云,3室2厅,109.27,南,简装,中楼层(共11层),板塔结合,2019年
金茂府东边楼栋东边户  诚心出售 湖景视野好,330,23066,金茂府 ,梅溪湖北岸,3室2厅,143.07,东南 东 北,精装,高楼层(共46层),板塔结合,2017年
"五一广场,中山亭，乐和城后面,交通便利,配套实施齐。",68,9524,府后街50号 ,松桂园,3室1厅,71.4,南,其他,中楼层(共5层) ,暂无数据,暂无数据
免个税 纯毛坯 星沙大道朝南大三房 诚心卖 有钥匙,57.8,5266,时代星城 ,泉塘,3室2厅,109.77,南 北,毛坯,高楼层(共33层) ,塔楼,暂无数据
南北通透，视野无遮挡，满五唯一,110,9905,泊爱蓝湾 ,尚东,3室1厅,111.06,南 北,简装,中楼层(共31层),板楼,2013年
央企品质  配套成熟 生活配套便利 物业好 次新小区,99.8,8789,中建嘉和城 ,万家丽南路,3室2厅,113.56,南,毛坯,高楼层(共33层) ,板塔结合,暂无数据
洋湖湿地公园旁南北通透房子精装楼层好,88.8,9350,洋湖style ,含浦,3室2厅,94.98,南 北,精装,低楼层(共30层),塔楼,2016年
地铁口精装2房，可拎包入住，交通便利，环境优美,56.8,6854,海伦堡海伦春天 ,开元路,2室1厅,82.88,南,精装,高楼层(共32层),板塔结合,2014年
满二，地铁，电梯房，钥匙，视野好,150,13469,湘熙水郡 ,洋湖垸,3室2厅,111.37,南 北,毛坯,高楼层(共27层) ,暂无数据,暂无数据
芙蓉区次新小区四房，自住装修诚售,106,8863,东业上城嘉苑 ,汽车东站,4室2厅,119.61,南 北,精装,中楼层(共27层),板塔结合,2015年
婚房装修，忍痛出售，医院地铁口商场步行速达人车分流,155,12496,银港水晶城 ,马王堆,4室2厅,124.04,南 北,精装,中楼层(共18层),板塔结合,2006年
新上复式三房，一线河景，业主诚心出售,212,17734,龙湖碧桂园天宸原著 ,汽车东站,4室2厅,119.55,南,精装,低楼层(共34层) ,暂无数据,暂无数据
万科天阔里精装4房，全新未入住，中低楼层，现房,172,13231,万科魅力之城 ,武广新城,4室2厅,130,南,精装,48层 ,板塔结合,暂无数据
出小区就是地铁口，绿化和物业很好。无遮挡，采光很好,85,7827,恒广国际景园一区 ,中南汽车世界,3室1厅,108.61,南 北,其他,低楼层(共33层),塔楼,2015年
方略潇邦  带燃气  70年产权 随时可以看房,26.5,5914,方略潇邦 ,泉塘,1室1厅,44.81,南,精装,高楼层(共33层),板塔结合,2010年
金星北品质楼盘 开发商精装大四房,122,9369,时代年华 ,望城区,4室2厅,130.23,南,精装,中楼层(共34层) ,板塔结合,暂无数据
看房方便，诚心出售，价格可谈，楼层不错,102,11379,世纪城映江苑 ,湘江世纪城,3室1厅,89.64,南 北,简装,低楼层(共33层),塔楼,2010年
砂子塘湘天 二梯三户 小区中间【前后不临街】,162,11420,贡院一号 ,德思勤,4室2厅,141.86,南 北,毛坯,中楼层(共18层),板楼,2013年
精装五房 环境优美 配套成熟 物美价廉 出行便利,140,10219,润和星城·润和长郡 ,金星北,5室2厅,137,东南,毛坯,高楼层(共34层) ,塔楼,暂无数据
次新小区 洋湖旁 五房边户 南北向 视野开阔 安静,110,8597,永实蔷薇国际 ,含浦,4室2厅,127.96,南,毛坯,高楼层(共32层) ,板塔结合,暂无数据
满五唯一，可拎包入住，中高楼层 交通便利 随时看房,78.8,8318,先锋水韵花都 ,开福区政府,2室2厅,94.74,南,简装,高楼层(共32层),塔楼,2007年
恒大三期，满五唯一，精空，南北通透双阳台，双卫生间,119,10403,恒大江湾 ,汽车东站,3室2厅,114.4,南 北,简装,中楼层(共28层) ,板塔结合,暂无数据
自住装修 诚心出售 套内面积大于产权面积,52,7582,新长海广场 ,泉塘,3室2厅,68.59,南,其他,高楼层(共32层),板塔结合,2017年
麓谷次新房 长房云时代 品字户型三房 中间楼层,98.8,10837,长房云时代 ,雷锋大道,3室1厅,91.17,南,精装,中楼层(共31层),板塔结合,2018年
小区里楼栋很好的位置，楼层好，视野很好，通风性好。,98,8394,中房F联邦 ,枫林三路,3室2厅,116.76,南,精装,高楼层(共28层) ,板塔结合,暂无数据
山语城三期，中间楼栋楼层好，视野好，业主诚心出售,102,9153,中国铁建山语城三期 ,金霞,3室2厅,111.45,南,简装,低楼层(共34层) ,板塔结合,暂无数据
单位小区 公摊小 精装修三房 低楼层采光好 .,65,7360,天心区教师村 ,树木岭,3室1厅,88.32,南,毛坯,低楼层(共6层) ,板塔结合,暂无数据
长岭市妇幼，地铁七号线，长塘里，湘雅附二,74,8116,省外经委宿舍 ,东塘,3室1厅,91.18,东 东北,简装,中楼层(共7层) ,板楼,暂无数据
刚需三房 公摊小 户型好 空间利用高 居家 拎包入住,128,14242,高信向日葵 ,金星中路,3室2厅,89.88,南,精装,中楼层(共18层),板塔结合,2015年
中间楼层采光好 视野开阔 户型周正,83,9881,保利花园三期 ,省政府,2室2厅,84,南,简装,中楼层(共16层),板楼,2012年
【业主诚心出售】，户型周正三居室，出行方便！,78.8,8280,海伦堡爱ME城市 ,跳马,3室1厅,95.17,南 北,精装,中楼层(共29层),塔楼,2015年
万科城二期精装小三房，中间楼层，保养好，采光好,103.8,11843,万科城二期B区 ,福元西路,3室1厅,87.65,南,精装,中楼层(共34层),塔楼,2014年
小徐推荐：满五唯一，自住精装三房，中间楼层,89,9440,润和长郡二期 ,金星北,3室1厅,94.28,南,精装,高楼层(共32层) ,板塔结合,暂无数据
正地铁口，满五唯一，全新精装修，户型方正，配套齐全,176,12480,麓阳和景雅苑 ,汽车西站,4室2厅,141.03,南,其他,中楼层(共19层) ,暂无数据,暂无数据
业主自住精装修 小区蕞好户型 业主诚心出售,125,12020,兴威帕克水岸 ,金盆岭,3室2厅,104,南 北,精装,低楼层(共30层),板塔结合,2013年
中间楼栋 清水毛坯  唯一  诚心出售,155,13337,长房东旭国际 ,武广新城,3室1厅,116.22,南,毛坯,低楼层(共32层),板楼,2019年
新上 电梯三房 3卧朝南 中间层 采光好 居家舒适,86,8683,金科园 ,东塘,3室2厅,99.05,东南,精装,高楼层(共8层),板楼,2000年
房东换房子，诚心出售，有钥匙，满五唯一,76,6647,楚天世纪城西苑 ,泉塘,3室1厅,114.35,东南 南,其他,低楼层(共33层),板塔结合,2018年
中建品质 植物园 地铁口 次新小区 优质四房 人车分流,118,9437,中建嘉和城 ,万家丽南路,4室2厅,125.05,南 北,毛坯,中楼层(共34层) ,板楼,暂无数据
看江三房双公园旁户型周正通风采光好博才,120,11328,景秀江山 ,银盆岭,3室2厅,105.94,南,精装,高楼层(共20层),板塔结合,2011年
全新装修，重未入住过，二环内洋房，居住舒适。。,200,14377,卓越蔚蓝海岸二期 ,市政府,3室1厅,139.12,南 北,精装,中楼层(共4层),板楼,2011年
润和天地印湘江  地铁口 满五唯一 看江景  诚心出售,132,10218,润和天地印湘江 ,金星北,4室2厅,129.19,南 北,毛坯,高楼层(共28层) ,暂无数据,暂无数据
长梅大三房，精装30万，中秧空调，从未入住，满五唯一,199.8,15738,惠天然梅岭国际 ,梅溪湖北岸,3室2厅,126.96,南,精装,中楼层(共32层),板塔结合,2015年
天麓尚层刚需小三房满五唯一高层采光好,80,8795,天麓尚层 ,雷锋大道,3室2厅,90.97,东南,精装,高楼层(共34层),板塔结合,2014年
长沙大道运达旁 精装修三房 得房率高 业主急售,112,11600,江河东澜湾 ,武广新城,3室1厅,96.56,南 北,精装,低楼层(共31层),板塔结合,2015年
此房业主急售，前排一线江景，出价就谈,110,11520,华润置地橡树湾 ,含浦,3室2厅,95.49,南,精装,中楼层(共32层),板塔结合,2016年
地铁口，次新小区，边户.视野开阔,112,12520,恒大御景半岛锦绣苑 ,湘江世纪城,3室2厅,89.46,南,精装,中楼层(共39层) ,板塔结合,暂无数据
砂之船地铁口润和又一城二期毛胚小户型，出价就谈,76.5,8244,润和又一城二期 ,金星北,3室2厅,92.8,南,毛坯,中楼层(共33层) ,塔楼,暂无数据
户型周正，南北通透，南向小区园林，出行便利。,90,6942,润和山水郡 ,望城区,4室2厅,129.66,南 北,毛坯,低楼层(共34层) ,暂无数据,暂无数据
央企中交三期大四房满五唯一，中高楼层清水毛坯,172,12471,中交中央公园 ,汽车东站,4室2厅,137.93,南 北,毛坯,33层 ,板塔结合,暂无数据
梅溪湖东正地铁口一梯两户毛坯四房,161.8,9999,麓阳和景雅苑 ,汽车西站,4室2厅,161.83,南,毛坯,高楼层(共23层),板塔结合,2016年
近地铁口，师大系双语，户型好，房东诚心卖，龙湖街,120,9607,童话里 ,新开铺,4室2厅,124.91,南 北,其他,中楼层(共31层),板塔结合,2008年
带大露台 视野开阔看西湖 岳麓山 橘子洲 河西夜景,118,7449,江山花园 ,银盆岭,4室2厅,158.42,南,精装,高楼层(共8层) ,板楼,暂无数据
绿地业主自住精装 诚心出售  户型周正看房方便,112,8064,绿地海外滩一期 ,金霞,4室2厅,138.9,南,精装,低楼层(共33层),板塔结合,2016年
汽车东站 两梯两户 大平层 盛隆佳园 地税局单位房,175,9274,盛隆佳园 ,汽车东站,4室2厅,188.7,南,毛坯,中楼层(共32层) ,板楼,暂无数据
房子是准备自住的，中间楼层，视野好,188,12270,汇金城三期 ,汽车南站,4室2厅,153.23,南,简装,中楼层(共32层) ,板塔结合,暂无数据
华天集团单位大五房毛坯，人车分流，带地暖,185,10438,华天苑 ,省政府,5室2厅,177.24,南,毛坯,10层 ,板楼,暂无数据
洋湖奥克斯，次新小区，纯毛坯，可带车位出售！,226,16046,奥克斯滨仕花园 ,洋湖垸,4室2厅,140.85,南,毛坯,中楼层(共30层),板塔结合,2016年
大托地铁口，精装小三房，有车位，不临马路，安静宜居,102,9492,金房奥斯卡东区 ,省政府,3室2厅,107.46,南,其他,中楼层(共13层) ,暂无数据,暂无数据
央企品质 花园式小区 舒适大三房,128,11689,中建芙蓉嘉苑 ,省政府,3室2厅,109.51,南,精装,中楼层(共17层),板塔结合,2014年
满五唯一，省个税。有钥匙随时看房,94.8,8129,保利香槟国际 ,万家丽北,4室2厅,116.63,南,毛坯,中楼层(共34层) ,暂无数据,暂无数据
电梯大三房      单价4057,55,4058,南郡明珠 ,暮云,3室2厅,135.56,南 北,其他,低楼层(共15层) ,板楼,暂无数据
小区内目前就这一套便宜大四房  目宋小孩上学,266,17237,北辰三角洲奥城E7区 ,北辰三角洲,4室2厅,154.32,南,毛坯,低楼层(共45层) ,板塔结合,暂无数据
全新毛坯，江边栋01户型，一线江景，客厅带圆弧阳台,212,12759,世纪城聚江苑 ,湘江世纪城,4室2厅,166.16,东南,毛坯,低楼层(共23层),板楼,2008年
雨花区中间位置  双地铁 电梯精装三房,129.8,10356,中江佳境天成 ,赤岗冲,3室2厅,125.35,南,精装,高楼层(共32层),板塔结合,2010年
清水毛坯 北辰中芯 地铁口 中间楼层 采光视野好,165,15448,北辰三角洲奥城E4区 ,北辰三角洲,3室2厅,106.81,南,毛坯,中楼层(共45层) ,板塔结合,暂无数据
原始毛坯 高层 视野开阔 无遮挡,198,13963,永祺西京 ,河西步步高,4室2厅,141.81,南,毛坯,高楼层(共33层),板塔结合,2012年
央企开发 松雅湖地铁口 中建悦和城大四房 楼层好,125,9736,中建悦和城 ,开元路,4室2厅,128.39,南,毛坯,中楼层(共31层),板塔结合,2020年
湘熙水郡-前排江景房，地铁三号线，宜家，雅礼,243,17192,湘熙水郡 ,洋湖垸,4室2厅,141.35,南,毛坯,高楼层(共26层),板楼,2018年
户型周正视野开阔，明厨明卫，品质小区环境优美,138,8904,湘诚德峰小区B区 ,金霞,4室2厅,155,东 南,毛坯,低楼层(共30层) ,板塔结合,暂无数据
正地铁口，四房精装，双阳台通透好户型,99.8,8853,世锦家和院 ,开元路,4室2厅,112.74,南,精装,中楼层(共32层),板塔结合,2012年
橄榄城 免个税 4房2卫 全新未入住 品牌家装 有钥匙,92.8,7554,橄榄城 ,泉塘,4室2厅,122.85,南,精装,低楼层(共31层) ,板塔结合,暂无数据
湘雅附二 地铁口  精装大四房  看房方便,310,14229,鸿铭中心南苑 ,窑岭,4室2厅,217.87,南 北,精装,中楼层(共15层) ,板楼,暂无数据
满四唯一，精装，中间楼层 户型好，采光好，南北通透,83.1,6869,中悦领秀城 ,暮云,3室2厅,120.98,北 南,精装,中楼层(共21层),板塔结合,2016年
融江苑 江边栋 视野可棒了 北雅随上 无抵押 诚心售,148,9977,世纪城融江苑 ,湘江世纪城,4室2厅,148.35,南,精装,低楼层(共33层),塔楼,2010年
地铁口 居家三房 近30万的装修 可拎包入住,138,12576,中建芙蓉嘉苑 ,省政府,3室2厅,109.74,东南,精装,中楼层(共16层) ,板塔结合,暂无数据
一线湖景南北通透双阳台周南中视野好,350,19251,佳兆业云顶梅溪湖 ,梅溪湖南岸,4室2厅,181.81,南 北,毛坯,高楼层(共37层),板楼,2014年
南北通透 带产权车位 凤凰层 3个大阳台和入户大花园,148,11527,世纪城赏江苑 ,湘江世纪城,3室2厅,128.4,南 北,简装,高楼层(共28层),塔楼,2008年
星湖湾洋房二期清水毛坯三房出门就是地铁口公园,97,9069,宁华星湖湾洋房二期 ,开元路,3室2厅,106.96,南,毛坯,高楼层(共11层),板楼,2019年
次新小区  清水毛坯四房  有钥匙随时看房,119,8922,中国铁建山语城三期 ,金霞,4室2厅,133.38,东南,毛坯,中楼层(共34层) ,板塔结合,暂无数据
南北通透正规大四房，急售，双公园,88.8,8030,海德公园 ,泉塘,4室2厅,110.59,南 北,精装,低楼层(共33层) ,板塔结合,暂无数据
湖南省内只有一套 视野好 大户型 价格美丽 近月湖,155,8382,财富名园 ,月湖,4室2厅,184.94,南 北,毛坯,中楼层(共18层),板塔结合,2012年
